PA_ID,Molecular Weight,Annotation,Processed Annotation,100-7,100-8,100-9,100-10,100-11,100-12,100-13,100-14,100-15,100-16,100-17,100-18,100-19,100-20,100-21,100-22,100-23,100-24,100-25,100-26,100-27,100-28,100-29,100-30,100-31,100-32,100-33,100-34,100-35,100-36,100-37,100-38,200-7,200-8,200-9,200-10,200-11,200-12,200-13,200-14,200-15,200-16,200-17,200-18,200-19,200-20,200-21,200-22,200-23,200-24,200-25,200-26,200-27,200-28,200-29,200-30,200-31,200-32,200-33,200-34,200-35,200-36,200-37,200-38,300-7,300-8,300-9,300-10,300-11,300-12,300-13,300-14,300-15,300-16,300-17,300-18,300-19,300-20,300-21,300-22,300-23,300-24,300-25,300-26,300-27,300-28,300-29,300-30,300-31,300-32,300-33,300-34,300-35,300-36,300-37,300-38,400-7,400-8,400-9,400-10,400-11,400-12,400-13,400-14,400-15,400-16,400-17,400-18,400-19,400-20,400-21,400-22,400-23,400-24,400-25,400-26,400-27,400-28,400-29,400-30,400-31,400-32,400-33,400-34,400-35,400-36,400-37,400-38,500-7,500-8,500-9,500-10,500-11,500-12,500-13,500-14,500-15,500-16,500-17,500-18,500-19,500-20,500-21,500-22,500-23,500-24,500-25,500-26,500-27,500-28,500-29,500-30,500-31,500-32,500-33,500-34,500-35,500-36,500-37,500-38,600-7,600-8,600-9,600-10,600-11,600-12,600-13,600-14,600-15,600-16,600-17,600-18,600-19,600-20,600-21,600-22,600-23,600-24,600-25,600-26,600-27,600-28,600-29,600-30,600-31,600-32,600-33,600-34,600-35,600-36,600-37,600-38,800-7,800-8,800-9,800-10,800-11,800-12,800-13,800-14,800-15,800-16,800-17,800-18,800-19,800-20,800-21,800-22,800-23,800-24,800-25,800-26,800-27,800-28,800-29,800-30,800-31,800-32,800-33,800-34,800-35,800-36,800-37,800-38,1000-7,1000-8,1000-9,1000-10,1000-11,1000-12,1000-13,1000-14,1000-15,1000-16,1000-17,1000-18,1000-19,1000-20,1000-21,1000-22,1000-23,1000-24,1000-25,1000-26,1000-27,1000-28,1000-29,1000-30,1000-31,1000-32,1000-33,1000-34,1000-35,1000-36,1000-37,1000-38
PA4740,75 kDa,ref|NP_253428.1|gi|15599934| polyribonucleotide nucleotidyltransferase,polyribonucleotide nucleotidyltransferase,,,,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,10,5,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,4,107,298,179,70,45,36,30,30,27,19,19,20,14,16,12,7,7,4,6,4,5,4,5,,,,,,,3,3,2,55,68,47,15,8,6,5,5,4,6,4,4,5,4,3,4,4,4,5,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA5119,52 kDa,ref|NP_253806.1|gi|15600312| glutamine synthetase,glutamine synthetase,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,35,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,24,186,130,64,44,38,26,20,18,14,12,9,10,7,6,5,6,4,4,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA1588,42 kDa,ref|NP_250279.1|gi|15596785| succinyl-CoA synthetase beta chain,succinyl-CoA synthetase beta chain,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,19,261,177,111,88,70,69,110,41,71,27,28,25,27,25,28,26,20,19,11,13,13,,,,,,,1,1,0,0,0,3,2,1,0,1,1,1,2,1,1,1,1,1,2,1,0,1,1,0,0,1,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA4935,16 kDa,ref|NP_253622.1|gi|15600128| 30S ribosomal protein S6,30S ribosomal protein S6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,10,18,5,0,1,6,44,45,54,48,42,34,33,35,37,28,29,25,21,22,22,25,27,22,,,,,,,0,1,7,6,4,4,2,15,68,81,80,67,58,56,51,51,45,44,41,35,38,34,31,32,29,28,,,,,,,4,2,6,8,7,8,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA4270,151 kDa,ref|NP_252960.1|gi|15599466| DNA-directed RNA polymerase beta chain,DNA-directed RNA polymerase beta chain,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,23,17,3,0,0,0,0,0,0,2,15,37,40,43,37,29,26,26,19,15,18,13,12,11,,,,,,,0,1,22,14,5,5,8,28,64,64,59,62,52,44,46,37,38,25,28,24,20,19,19,19,16,14,,,,,,,1,0,4,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA4366,21 kDa,ref|NP_253056.1|gi|15599562| superoxide dismutase,superoxide dismutase,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,46,282,213,180,136,162,126,112,101,86,62,49,38,29,25,18,13,6,9,9,,,,,,,1,0,0,0,0,0,0,5,3,3,3,3,3,2,1,1,0,0,1,1,1,1,0,1,1,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA4922,16 kDa,ref|NP_253609.1|gi|15600115| azurin precursor,azurin precursor,,,,0,0,0,0,0,0,0,0,0,3,49,92,63,26,19,12,10,8,7,6,5,6,5,6,7,5,,,,,,,1,1,0,0,1,0,0,0,0,0,11,6,4,2,2,2,2,1,1,0,0,0,2,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA1585,106 kDa,ref|NP_250276.1|gi|15596782| 2-oxoglutarate dehydrogenase (E1 subunit),2-oxoglutarate dehydrogenase (E1 subunit),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,7,9,1,1,11,15,11,8,9,4,5,2,5,4,3,2,0,2,2,2,1,1,1,1,,,,,,,0,0,17,24,7,6,21,44,37,33,32,36,28,28,22,15,15,16,12,10,8,5,5,4,2,2,,,,,,,0,0,183,143,38,18,19,37,26,24,24,14,7,7,7,6,4,2,2,1,1,1,1,0,0,0,,,,,,,1,0,1,6,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA4739,12 kDa,ref|NP_253427.1|gi|15599933| conserved hypothetical protein,conserved hypothetical protein,,,,0,0,0,0,0,0,0,0,0,0,0,3,13,12,13,23,247,185,126,55,37,22,19,21,19,14,,,,,,,6,4,5,2,3,3,2,1,0,0,0,2,2,4,5,7,12,13,12,12,9,8,2,5,5,4,,,,,,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,1,1,0,0,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA2623,46 kDa,ref|NP_251313.1|gi|15597819| isocitrate dehydrogenase,isocitrate dehydrogenase,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,4,5,5,12,43,75,74,68,53,44,32,22,27,16,15,8,5,5,6,4,1,2,3,2,,,,,,,0,0,1,3,0,3,29,80,81,81,66,53,38,33,27,20,16,10,8,10,10,4,3,3,4,1,,,,,,,0,0,0,2,0,2,4,4,31,25,11,10,6,4,2,1,1,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA3068,183 kDa,ref|NP_251758.1|gi|15598264| NAD-dependent glutamate dehydrogenase,NAD-dependent glutamate dehydrogenase,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,6,14,8,1,0,2,2,4,6,25,58,70,61,56,45,46,50,48,45,27,25,23,23,18,,,,,,,0,0,30,31,9,3,3,5,4,8,12,24,34,25,24,17,15,16,16,15,14,12,9,8,9,8,,,,,,,0,0,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA0888,28 kDa,ref|NP_249579.1|gi|15596085| arginine/ornithine binding protein AotJ,arginine/ornithine binding protein AotJ,,,,0,0,0,0,0,0,0,0,0,3,0,3,3,2,3,1,2,1,3,15,49,61,70,66,72,51,,,,,,,11,4,6,4,6,5,5,1,2,1,0,1,1,0,1,2,1,3,2,2,4,5,1,9,7,13,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA1589,30 kDa,ref|NP_250280.1|gi|15596786| succinyl-CoA synthetase alpha chain,succinyl-CoA synthetase alpha chain,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,17,222,157,81,61,42,32,48,30,35,31,33,27,24,19,20,16,15,11,10,10,9,,,,,,,1,0,0,1,1,13,7,1,2,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA3834,108 kDa,ref|NP_252523.1|gi|15599029| valyl-tRNA synthetase,valyl-tRNA synthetase,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,58,97,92,74,60,43,34,29,25,18,9,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,28,37,44,32,31,26,19,12,10,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA4385,57 kDa,ref|NP_253075.1|gi|15599581| GroEL protein,GroEL protein,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,4,3,2,1,6,8,6,8,5,4,3,1,3,2,1,1,0,1,1,1,1,1,1,0,,,,,,,0,0,18,22,13,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,0,0,170,176,93,47,18,15,13,12,12,14,16,12,12,12,8,6,7,8,6,4,5,3,3,4,,,,,,,0,0,10,25,10,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
